Idx	Game	Released	Price	Userscore	Owners	Playtime
7	Sid Meier's Civilization V	Sep 21, 2010	$29.99	96% (90%)	7,850,067 ±66,478	156:53 (39:49)
10	Borderlands 2	Sep 17, 2012	$4.99	96% (89%)	5,488,810 ±55,847	60:31 (25:13)
3	BioShock Infinite	Mar 25, 2013	$29.99	95% (94%)	3,768,367 ±46,430	14:39 (10:54)
8	XCOM: Enemy Unknown	Oct 8, 2012	$29.99	95% (89%)	3,121,926 ±42,313	48:45 (23:31)
1	BioShock	Aug 21, 2007	$19.99	94% (96%)	2,916,130 ±40,911	07:11 (02:50)
16	Borderlands	Oct 26, 2009	$19.99	94% (81%)	2,612,075 ±38,743	30:34 (14:02)
11	BioShock 2	Feb 9, 2010	$19.99	90% (88%)	2,500,279 ±37,913	07:57 (02:46)
20	Mafia II	Mar 22, 2011	Free	94% (77%)	2,091,120 ±34,700	28:33 (15:06)
21	Spec Ops: The Line	Jun 25, 2012	$29.99	94% (76%)	1,239,644 ±26,761	06:36 (05:04)
2	Sid Meier's Civilization IV	Oct 25, 2006	$19.99	92% (94%)	1,150,360 ±25,783	23:19 (03:13)
13	Sid Meier's Civilization IV: Beyond the Sword	Jul 24, 2007	$9.99	97% (86%)	942,282 ±23,345	78:45 (09:55)
14	Sid Meier's Civilization IV: Warlords	Apr 6, 2007	$4.99	N/A (84%)	929,657 ±23,188	14:17 (01:23)
15	Sid Meier's Civilization IV: Colonization	Sep 23, 2008	$19.99	N/A (83%)	929,049 ±23,181	12:50 (01:15)
24	The Bureau: XCOM Declassified	Aug 19, 2013	$19.99	67% (66%)	899,236 ±22,807	07:01 (02:37)
19	The Darkness II	Feb 6, 2012	$29.99	91% (77%)	894,673 ±22,749	06:16 (04:28)
5	Sid Meier's Civilization III: Complete	Oct 25, 2006	$4.99	89% (90%)	837,026 ±22,007	39:56 (02:11)
26	Duke Nukem Forever	Jun 13, 2011	$19.99	70% (54%)	764,016 ±21,028	10:45 (04:50)
30	X-COM: UFO Defense	Sep 4, 2008	$4.99	96% (N/A)	575,104 ±18,250	15:48 (02:03)
12	Sid Meier's Pirates!	Jul 11, 2005	$9.99	95% (88%)	499,204 ±17,006	11:02 (04:31)
32	X-COM: Terror from the Deep	May 4, 2007	$4.99	N/A (N/A)	497,987 ±16,985	13:55 (00:40)
29	X-COM: Apocalypse	Sep 4, 2008	$4.99	N/A (N/A)	496,010 ±16,952	15:00 (00:14)
18	Sid Meier's Railroads!	May 4, 2007	$9.99	67% (77%)	493,120 ±16,902	10:08 (02:07)
25	X-COM: Enforcer	Sep 4, 2008	$4.99	N/A (65%)	471,521 ±16,529	00:54 (00:16)
33	X-COM: Interceptor	Sep 4, 2008	$4.99	N/A (N/A)	470,913 ±16,518	01:27 (00:15)
31	Sid Meier's Ace Patrol	Aug 27, 2013	$4.99	N/A (N/A)	388,929 ±15,014	04:03 (01:49)
27	Sid Meier's Ace Patrol: Pacific Skies	Nov 5, 2013	$4.99	N/A (N/A)	386,799 ±14,973	02:49 (01:26)
34	NBA 2K14	Oct 1, 2013	$29.99	73% (N/A)	166,858 ±9,838	81:03 (26:47)
6	Freedom Force	May 29, 2009	$7.49	N/A (90%)	155,754 ±9,505	02:57 (00:36)
9	Railroad Tycoon 2: Platinum	May 4, 2007	$4.99	N/A (89%)	153,777 ±9,445	20:33 (01:56)
28	Freedom Force vs. the 3rd Reich	May 29, 2009	$7.49	N/A (N/A)	134,612 ±8,837	02:52 (00:46)
17	Railroad Tycoon 3	May 4, 2007	$9.99	N/A (80%)	111,796 ±8,054	22:00 (03:06)
4	NBA 2K13	Oct 30, 2012	$29.99	N/A (90%)	95,065 ±7,427	70:35 (21:45)
22	CivCity: Rome	Apr 6, 2007	$9.99	N/A (67%)	56,887 ±5,745	11:58 (03:39)
23	Shattered Union	Oct 25, 2006	$4.99	N/A (67%)	37,417 ±4,660	04:06 (00:31)
