Idx	Game	Released	Price	Userscore	Owners	Playtime
22	Mirror's Edge	Jan 14, 2009	$19.99	91% (81%)	2,471,836 ±37,699	04:25 (02:00)
10	Dead Space	Jan 9, 2009	$19.99	90% (86%)	2,080,473 ±34,612	06:25 (01:36)
42	Crysis 2 Maximum Edition	Mar 22, 2011	$29.99	81% (N/A)	2,046,858 ±34,333	07:05 (02:22)
7	Burnout Paradise: The Ultimate Box	Mar 12, 2009	$19.99	86% (87%)	1,882,434 ±32,936	06:51 (01:51)
32	Medal of Honor(TM) Single Player	Oct 12, 2010	$19.99	66% (72%)	1,591,004 ±30,296	03:56 (01:20)
33	Medal of Honor(TM) Multiplayer	Oct 12, 2010	$19.99	66% (72%)	1,591,004 ±30,296	06:21 (00:57)
8	Battlefield: Bad Company 2	Mar 2, 2010	$19.99	90% (87%)	1,511,910 ±29,538	61:34 (15:59)
1	Mass Effect 2	Jan 26, 2010	$19.99	96% (94%)	1,417,301 ±28,604	41:44 (27:30)
6	Mass Effect	Dec 19, 2008	$19.99	94% (89%)	1,268,544 ±27,069	24:21 (12:20)
9	Dead Space 2	Jan 25, 2011	$19.99	94% (87%)	1,127,392 ±25,526	09:47 (04:43)
41	Command and Conquer: Red Alert 3 - Uprising	Oct 6, 2009	$19.99	71% (N/A)	1,042,670 ±24,552	08:06 (01:02)
39	SimCity 4 Deluxe	Jul 20, 2010	$19.99	77% (N/A)	1,017,877 ±24,259	16:54 (03:10)
2	Dragon Age: Origins - Ultimate Edition	Oct 26, 2010	$29.99	94% (91%)	985,175 ±23,868	37:45 (11:50)
16	Spore	Dec 19, 2008	$19.99	87% (84%)	980,612 ±23,813	17:29 (07:34)
4	Crysis	Sep 17, 2008	$19.99	84% (91%)	870,337 ±22,439	08:33 (03:54)
14	Crysis Warhead	Sep 17, 2008	$19.99	86% (84%)	746,372 ±20,784	04:29 (02:21)
17	Crysis Wars	Sep 17, 2008	$19.99	86% (84%)	746,372 ±20,784	02:46 (00:14)
12	The Sims(TM) 3	Jan 27, 2011	$19.99	86% (86%)	730,706 ±20,566	65:44 (20:05)
5	Dragon Age: Origins	Nov 5, 2009	$19.99	93% (91%)	725,534 ±20,493	57:36 (24:02)
23	Kingdoms of Amalur: Reckoning	Feb 7, 2012	$19.99	88% (81%)	715,191 ±20,347	25:25 (08:35)
11	Need for Speed: Hot Pursuit	Dec 14, 2010	$19.99	82% (86%)	649,026 ±19,385	10:06 (03:26)
19	Command and Conquer: Red Alert 3	Jan 8, 2009	$19.99	83% (82%)	554,113 ±17,915	17:30 (05:04)
31	Alice: Madness Returns	Jun 17, 2011	$19.99	89% (75%)	505,592 ±17,114	08:27 (03:18)
34	Spore: Galactic Adventures	Jun 23, 2009	$19.99	80% (70%)	464,372 ±16,403	15:20 (03:51)
38	Spore: Creepy & Cute Parts Pack	Dec 19, 2008	$19.99	N/A (N/A)	410,223 ±15,419	07:27 (01:10)
21	Bulletstorm	Feb 21, 2011	$19.99	79% (82%)	349,534 ±14,234	06:30 (04:12)
3	Battlefield 2	Oct 6, 2009	Free	88% (91%)	344,515 ±14,132	19:31 (03:33)
13	Command and Conquer 3: Tiberium Wars	Nov 13, 2009	$14.99	92% (85%)	339,799 ±14,035	18:53 (05:58)
36	Command and Conquer 4: Tiberian Twilight	Mar 16, 2010	$19.99	23% (64%)	255,078 ±12,162	06:59 (02:19)
35	Need for Speed: Undercover	Dec 19, 2008	$9.99	69% (65%)	224,201 ±11,403	13:25 (03:27)
24	Jade Empire: Special Edition	Feb 27, 2007	$14.99	74% (81%)	185,110 ±10,362	07:38 (01:49)
27	Command and Conquer 3: Kane's Wrath	Nov 13, 2009	$19.99	N/A (77%)	170,660 ±9,949	24:12 (07:21)
18	Need for Speed: SHIFT	Oct 6, 2009	$19.99	76% (83%)	146,324 ±9,213	10:05 (03:26)
26	Medal of Honor: Airborne	Oct 6, 2009	$9.99	80% (78%)	145,107 ±9,175	09:51 (02:21)
15	Shift 2 Unleashed	Mar 29, 2011	$19.99	61% (84%)	144,042 ±9,141	12:06 (04:07)
20	Dragon Age: Origins - Awakening	Mar 16, 2010	$19.99	N/A (82%)	134,003 ±8,817	00:17 (00:01)
30	DeathSpank	Oct 25, 2010	$14.99	N/A (77%)	121,074 ±8,381	07:30 (04:11)
40	Crysis 2	Mar 22, 2011	$29.99	81% (N/A)	103,583 ±7,752	25:33 (17:40)
25	DeathSpank: Thongs Of Virtue	Nov 30, 2010	$14.99	N/A (78%)	92,783 ±7,337	08:22 (03:19)
29	The Sims(TM) Medieval	May 27, 2011	$9.99	N/A (77%)	59,016 ±5,852	27:47 (06:19)
28	RISK Factions	Mar 8, 2011	$9.99	N/A (77%)	52,932 ±5,542	10:24 (04:19)
37	WARP	Mar 21, 2012	$9.99	N/A (N/A)	44,718 ±5,094	03:15 (01:39)
