Idx	Game	Released	Price	Userscore	Owners	Playtime
63	Tom Clancy's Ghost Recon Phantoms - NA	Apr 10, 2014	Free	75% (70%)	3,572,761 ±45,226	30:28 (04:54)
85	Tom Clancy's Ghost Recon Phantoms - EU	10 Apr, 2014	Free	N/A (N/A)	3,203,606 ±42,857	22:51 (04:19)
9	Far Cry 3	Dec 4, 2012	$29.99	90% (88%)	2,592,454 ±38,598	27:50 (16:37)
76	The Mighty Quest For Epic Loot	Feb 25, 2014	Free	69% (64%)	1,945,557 ±33,480	15:31 (03:31)
97	South Park: The Stick of Truth	Mar 3, 2014	$29.99	97% (N/A)	1,230,670 ±26,664	16:42 (13:22)
15	Far Cry 2	Oct 22, 2008	$9.99	77% (85%)	1,185,191 ±26,169	09:11 (02:27)
27	Far Cry 3 Blood Dragon	May 1, 2013	$14.99	89% (81%)	1,130,738 ±25,564	06:48 (02:37)
12	Assassin's Creed II	Mar 9, 2010	$19.99	84% (86%)	1,041,453 ±24,538	25:09 (16:06)
56	Dark Messiah of Might & Magic Multi-Player	Oct 25, 2006	$9.99	94% (72%)	914,143 ±22,995	06:39 (00:25)
57	Dark Messiah of Might & Magic Single Player	Oct 25, 2006	$9.99	94% (72%)	914,143 ±22,995	07:14 (02:27)
31	Assassin's Creed III	Nov 20, 2012	$19.99	76% (80%)	913,382 ±22,985	35:21 (20:26)
5	Far Cry	Apr 1, 2008	$9.99	83% (89%)	805,236 ±21,586	05:49 (01:03)
21	Anno 2070	Nov 17, 2011	$29.99	64% (83%)	791,699 ±21,404	34:24 (11:03)
108	Assassin's Creed IV Black Flag	Nov 19, 2013	$29.99	90% (N/A)	772,382 ±21,142	46:47 (32:58)
8	Assassin's Creed Brotherhood	Mar 22, 2011	$19.99	87% (88%)	754,130 ±20,892	24:12 (14:34)
37	Assassin's Creed	Apr 9, 2008	$19.99	83% (79%)	727,207 ±20,517	09:48 (04:21)
33	Assassin's Creed Revelations	Nov 29, 2011	$19.99	86% (80%)	695,113 ±20,060	21:51 (14:14)
40	Call of Juarez Gunslinger	May 22, 2013	$14.99	95% (79%)	669,712 ±19,691	08:29 (04:52)
90	Tom Clancy's Splinter Cell Blacklist	Aug 20, 2013	$29.99	85% (N/A)	614,499 ±18,864	20:39 (10:45)
44	Might & Magic: Heroes VI	Oct 13, 2011	$19.99	49% (77%)	605,524 ±18,726	48:22 (16:13)
49	R.U.S.E	Sep 7, 2010	$9.99	93% (76%)	603,091 ±18,688	39:42 (08:34)
46	Watch_Dogs	May 26, 2014	$39.99	62% (77%)	554,722 ±17,925	28:29 (17:38)
19	Might & Magic: Duel of Champions	Nov 7, 2013	Free	83% (84%)	525,822 ±17,453	32:32 (02:33)
32	Far Cry 4	Nov 2014	$49.99	77% (80%)	480,343 ±16,682	39:54 (27:18)
47	Child of Light	Apr 29, 2014	$14.99	94% (77%)	452,660 ±16,195	08:05 (03:14)
48	From Dust	Aug 17, 2011	$14.99	65% (76%)	428,932 ±15,766	05:33 (02:24)
91	Rocksmith 2014	Oct 22, 2013	$59.99	93% (N/A)	415,243 ±15,513	38:50 (10:22)
41	Tom Clancy's Rainbow Six: Vegas 2	Apr 16, 2008	$9.99	88% (78%)	404,443 ±15,310	11:08 (03:50)
95	Valiant Hearts: The Great War / Soldats Inconnus : Mmoires de la Grande Guerre	Jun 25, 2014	$14.99	96% (N/A)	389,385 ±15,023	06:36 (04:37)
45	Heroes of Might & Magic V	May 13, 2008	$9.99	87% (77%)	286,259 ±12,883	23:11 (04:59)
1	Tom Clancy's Splinter Cell: Chaos Theory	Aug 27, 2009	$9.99	93% (92%)	265,573 ±12,409	07:08 (02:10)
75	Heroes of Might & Magic III - HD Edition	Jan 28, 2015	$14.99	56% (65%)	256,599 ±12,198	18:05 (05:49)
17	Trials Evolution Gold Edition	Mar 21, 2013	$19.99	79% (85%)	247,168 ±11,972	17:25 (07:18)
51	Might & Magic: Clash of Heroes	Sep 22, 2011	$9.99	92% (76%)	245,343 ±11,928	31:26 (08:29)
22	Prince of Persia	Dec 10, 2008	$9.99	76% (82%)	244,887 ±11,917	03:27 (01:06)
93	TrackMania Stadium	Jun 20, 2013	$9.99	90% (N/A)	241,845 ±11,842	13:07 (03:22)
62	The Crew	Dec 1, 2014	$49.99	73% (71%)	233,783 ±11,644	35:22 (20:36)
6	Prince of Persia: The Sands of Time	Nov 21, 2008	$9.99	N/A (89%)	229,981 ±11,549	03:41 (01:11)
68	I Am Alive	Sep 6, 2012	$14.99	67% (66%)	229,829 ±11,545	04:11 (02:06)
61	Tom Clancy's Ghost Recon Future Soldier	Jun 26, 2012	$19.99	69% (71%)	229,524 ±11,537	17:17 (06:27)
64	Heroes of Might & Magic V: Tribes of the East	Oct 10, 2008	$9.99	N/A (70%)	221,463 ±11,333	32:13 (07:01)
88	Anno Online	Jul 1, 2015	Free	47% (N/A)	212,337 ±11,097	08:01 (00:25)
52	Prince of Persia: The Forgotten Sands	Jun 8, 2010	$9.99	N/A (75%)	209,599 ±11,025	06:57 (02:49)
89	Assassins Creed Unity	Nov 11, 2014	$49.99	49% (N/A)	207,013 ±10,957	26:48 (16:44)
78	IL-2 Sturmovik: Cliffs of Dover	Jul 19, 2011	$9.99	N/A (60%)	200,929 ±10,795	17:52 (02:55)
43	Call of Juarez: Bound in Blood	Jul 2, 2009	$9.99	85% (78%)	199,256 ±10,750	05:58 (02:08)
30	Tom Clancy's Splinter Cell: Double Agent	Feb 13, 2009	$9.99	N/A (80%)	197,887 ±10,713	05:14 (01:44)
20	Prince of Persia: Warrior Within	Nov 21, 2008	$9.99	N/A (83%)	196,518 ±10,676	04:34 (00:51)
16	Prince of Persia: The Two Thrones	Nov 21, 2008	$9.99	N/A (85%)	195,301 ±10,643	03:55 (00:55)
29	Driver San Francisco	Sep 27, 2011	$19.99	76% (80%)	194,997 ±10,635	13:33 (04:14)
2	Tom Clancy's Splinter Cell	Apr 1, 2008	$9.99	N/A (91%)	194,845 ±10,631	06:22 (01:20)
71	Heroes of Might & Magic V: Hammers of Fate	Oct 10, 2008	$9.99	N/A (66%)	191,346 ±10,535	09:34 (00:43)
42	Rocksmith	Oct 16, 2012	$29.99	94% (78%)	187,544 ±10,430	23:01 (06:57)
83	Call of Juarez: The Cartel	Sep 13, 2011	$9.99	52% (51%)	186,783 ±10,408	08:28 (02:54)
102	The Settlers Online	Aug 19, 2015	Free	N/A (N/A)	186,327 ±10,396	05:51 (00:14)
11	Rayman Origins	Mar 29, 2012	$19.99	95% (86%)	176,744 ±10,125	09:35 (02:54)
4	Rayman Legends	Sep 3, 2013	$29.99	94% (89%)	169,596 ±9,918	14:47 (05:45)
65	Might & Magic X - Legacy	Jan 23, 2014	$24.99	69% (70%)	163,816 ±9,748	41:27 (11:42)
7	World in Conflict	Dec 4, 2008	$9.99	N/A (89%)	157,275 ±9,551	05:52 (01:15)
87	Beyond Good & Evil	May 13, 2008	$9.99	92% (N/A)	151,191 ±9,365	04:25 (01:13)
28	Trials Fusion	Apr 24, 2014	$19.99	66% (80%)	141,608 ±9,063	09:28 (04:16)
26	TrackMania Canyon	Feb 27, 2013	$19.99	90% (81%)	137,806 ±8,941	11:43 (03:33)
36	The Settlers 7: Paths to a Kingdom - Gold Edition	Mar 10, 2011	$19.99	N/A (79%)	137,045 ±8,916	23:14 (06:47)
92	Assassin's Creed Liberation	Jan 15, 2014	$19.99	60% (N/A)	134,764 ±8,842	09:04 (03:38)
53	Grow Home	Feb 4, 2015	$7.99	94% (75%)	114,230 ±8,141	04:15 (02:39)
13	Tom Clancy's Rainbow Six: Vegas	Apr 9, 2008	$9.99	N/A (85%)	111,036 ±8,026	02:23 (00:09)
55	Bloody Good Time	Oct 29, 2010	$4.99	78% (73%)	108,906 ±7,949	07:17 (01:29)
14	Tom Clancy's Rainbow Six 3: Gold Edition	Sep 25, 2008	$9.99	N/A (85%)	104,191 ±7,775	06:34 (01:43)
84	Shoot Many Robots	Apr 6, 2012	$9.99	91% (N/A)	102,670 ±7,718	07:51 (04:24)
3	Silent Hunter III	Jun 13, 2008	$9.99	N/A (90%)	97,803 ±7,533	20:00 (04:42)
35	Tom Clancy's Ghost Recon	Jul 15, 2008	$9.99	N/A (80%)	97,346 ±7,515	05:12 (00:34)
34	TrackMania United	Apr 16, 2008	$29.99	N/A (80%)	96,282 ±7,474	43:03 (08:29)
25	Tom Clancy's Ghost Recon: Island Thunder	Jul 15, 2008	$4.99	N/A (82%)	86,395 ±7,080	02:10 (00:18)
103	Assassin's Creed Freedom Cry	Feb 25, 2014	$14.99	79% (N/A)	86,395 ±7,080	06:03 (03:42)
23	Tom Clancy's Ghost Recon: Desert Siege	Jul 15, 2008	$4.99	N/A (82%)	85,026 ±7,024	02:19 (00:16)
39	Brothers in Arms: Hell's Highway	Oct 8, 2008	$9.99	N/A (79%)	78,942 ±6,768	08:10 (03:51)
104	Silent Hunter 5: Battle of the Atlantic	Mar 2010	$9.99	N/A (N/A)	71,945 ±6,461	28:03 (10:50)
10	Brothers in Arms: Road to Hill 30	May 13, 2008	$9.99	N/A (87%)	71,641 ±6,447	05:24 (01:55)
50	ShootMania Storm	Apr 10, 2013	$19.99	89% (76%)	70,272 ±6,385	29:34 (03:59)
109	TrackMania Valley	Jul 4, 2013	$19.99	N/A (N/A)	68,751 ±6,316	04:53 (01:29)
18	Brothers in Arms: Earned in Blood	Oct 10, 2008	$9.99	N/A (84%)	65,557 ±6,168	05:25 (00:56)
94	Assassins Creed Chronicles: China	Apr 21, 2015	$9.99	68% (N/A)	65,557 ±6,168	03:22 (01:43)
66	Tom Clancy's EndWar	Feb 25, 2009	$9.99	N/A (68%)	63,123 ±6,052	05:51 (01:57)
38	Silent Hunter: Wolves of the Pacific	Jun 13, 2008	$9.99	N/A (79%)	60,689 ±5,934	15:44 (04:26)
54	Assassin's Creed Rogue	Mar 9, 2015	$39.99	88% (74%)	57,343 ±5,768	25:34 (16:45)
80	Tom Clancy's Rainbow Six: Lockdown	May 13, 2008	$9.99	N/A (59%)	53,845 ±5,590	02:22 (00:34)
24	Dawn of Discovery	Jun 23, 2009	$9.99	N/A (82%)	50,498 ±5,413	28:29 (06:54)
99	Silent Hunter: Wolves of the Pacific U-Boat Missions	Jun 13, 2008	$9.99	N/A (N/A)	35,288 ±4,525	18:07 (04:25)
69	The Settlers: Rise of an Empire Gold Edition	Oct 10, 2008	$19.99	N/A (66%)	32,246 ±4,326	30:43 (11:36)
