Idx	Game	Released	Price	Userscore	Owners	Playtime
3	Batman: Arkham City GOTY	Sep 7, 2012	$19.99	96% (91%)	2,639,606 ±38,944	16:00 (07:47)
1	Batman: Arkham Asylum GOTY Edition	Mar 26, 2010	$19.99	96% (91%)	2,260,107 ±36,063	10:52 (06:40)
8	Bastion	Aug 16, 2011	$14.99	97% (86%)	2,033,777 ±34,224	06:11 (03:11)
28	Gotham City Impostors: Free To Play	Aug 30, 2012	Free	86% (N/A)	1,857,033 ±32,715	05:39 (01:06)
12	F.E.A.R. 2: Project Origin	Feb 12, 2009	$14.99	86% (79%)	1,770,638 ±31,950	13:10 (06:27)
17	F.E.A.R. 3	Jun 21, 2011	$19.99	73% (74%)	1,679,528 ±31,122	07:45 (04:00)
19	Batman: Arkham Origins	Oct 24, 2013	$19.99	85% (74%)	1,584,767 ±30,237	18:29 (10:40)
7	The Lord of the Rings Online	Jun 6, 2012	Free	82% (86%)	1,458,978 ±29,019	31:19 (01:40)
22	The Lord of the Rings: War in the North	Nov 1, 2011	$19.99	78% (66%)	1,423,994 ±28,671	10:18 (03:24)
16	Scribblenauts Unlimited	Nov 19, 2012	$19.99	92% (75%)	1,408,784 ±28,519	07:41 (03:29)
4	F.E.A.R.	May 21, 2010	$9.99	94% (88%)	1,078,871 ±24,973	05:09 (01:46)
5	F.E.A.R.: Perseus Mandate	May 21, 2010	$9.99	N/A (88%)	1,078,871 ±24,973	04:24 (01:44)
6	F.E.A.R.: Extraction Point	May 21, 2010	$9.99	N/A (88%)	1,078,871 ±24,973	03:27 (01:26)
26	Mortal Kombat Komplete Edition	Jul 3, 2013	$19.99	90% (N/A)	961,751 ±23,584	11:03 (04:27)
14	LEGO MARVEL Super Heroes	Oct 22, 2013	$19.99	93% (78%)	713,214 ±20,319	32:25 (09:50)
32	Mortal Kombat Kollection	Feb 1, 2012	$9.99	49% (N/A)	700,133 ±20,132	01:25 (00:18)
37	Injustice: Gods Among Us Ultimate Edition	Nov 12, 2013	$19.99	86% (N/A)	672,602 ±19,733	08:10 (04:41)
24	Guardians of Middle-earth	Aug 29, 2013	$19.99	22% (56%)	590,314 ±18,490	02:10 (00:56)
10	LEGO Lord of the Rings	Nov 27, 2012	$19.99	91% (80%)	449,314 ±16,135	11:00 (03:35)
38	Dungeons & Dragons Online	Jun 25, 2012	Free	77% (N/A)	448,249 ±16,116	26:28 (01:12)
31	Batman: Arkham Knight	Jun 23, 2015	Free	46% (N/A)	431,670 ±15,816	20:35 (12:59)
15	Mortal Kombat X	Apr 13, 2015	$59.99	66% (76%)	375,240 ±14,748	23:21 (11:13)
18	Mad Max	Sep 1, 2015	$59.99	93% (74%)	356,987 ±14,385	22:23 (17:03)
27	LEGO Worlds	Jun 1, 2015	$14.99	86% (N/A)	323,524 ±13,695	06:27 (02:34)
39	LEGO - The Hobbit	Apr 8, 2014	$19.99	84% (N/A)	306,793 ±13,337	14:45 (04:42)
29	The LEGO Movie - Videogame	Feb 7, 2014	$19.99	85% (N/A)	248,233 ±11,998	18:00 (07:28)
13	Lego Harry Potter	Jun 29, 2010	$19.99	78% (79%)	198,799 ±10,738	11:17 (03:30)
35	LEGO Batman 2	Jun 22, 2012	$19.99	N/A (N/A)	183,285 ±10,311	22:01 (04:59)
11	LEGO Harry Potter: Years 5-7	Jan 5, 2012	$19.99	N/A (80%)	175,375 ±10,086	11:46 (04:03)
9	LEGO Batman: The Videogame	Sep 29, 2008	$19.99	N/A (80%)	161,078 ±9,666	11:48 (01:53)
21	Scribblenauts Unmasked	Sep 24, 2013	$19.99	84% (68%)	149,062 ±9,299	07:01 (02:50)
2	Batman: Arkham Asylum	Mar 26, 2010	$19.99	96% (91%)	98,259 ±7,550	18:05 (12:10)
20	LEGO Jurassic World	Jun 11, 2015	$39.99	79% (72%)	96,738 ±7,492	19:16 (09:44)
36	Mortal Kombat: Legacy	Apr 6, 2015	Free	N/A (N/A)	92,327 ±7,319	00:07 (00:01)
23	Watchmen: The End Is Nigh	Mar 4, 2009	$4.99	N/A (61%)	36,049 ±4,574	02:16 (01:16)
25	Watchmen: The End Is Nigh Part 2	Jul 29, 2009	$4.99	N/A (44%)	28,139 ±4,041	02:33 (02:09)
34	Mortal Kombat: Legacy II	Apr 9, 2015	Free	N/A (N/A)	26,162 ±3,896	00:01 (00:01)
33	Scooby-Doo! & Looney Tunes Cartoon Universe: Adventure	Jul 16, 2014	$19.99	N/A (N/A)	2,890 ±1,295	01:03 (01:05)
30	Hot Wheels World's Best Driver	Sep 17, 2013	$19.99	N/A (N/A)	2,434 ±1,188	02:21 (04:59)
